"","license_class","trips_per_day","farebox_per_day","unique_drivers","unique_vehicles","vehicles_per_day","avg_days_vehicles_on_road","avg_hours_per_day_per_vehicle","avg_days_drivers_on_road","avg_hours_per_day_per_driver","avg_minutes_per_trip","percent_of_trips_paid_with_credit_card","trips_per_day_shared","month_year","month_year1","trips_per_month","month_date","farebox_per_month","week","trips_per_week","year","farebox_per_week","total_trips_per_day","shared_trips_per_day_percent"
"441","Green",51880,700319,7120,6342,5030,24.6,6.4,22.5,6.3,12.9,0.48,NA,"2015-12",Dec 2015,1608280,2015-12-28,21709889,"52",363160,"2015",4902233,NA,NA
"442","Green",50999,685908,7132,6342,5036,23.8,6.4,21.8,6.2,12.9,0.49,NA,"2015-11",Nov 2015,1529970,2015-11-28,20577240,"47",356993,"2015",4801356,NA,NA
"443","Green",52598,716779,7157,6396,5083,24.6,6.5,22.7,6.3,13.3,0.48,NA,"2015-10",Oct 2015,1630538,2015-10-28,22220149,"43",368186,"2015",5017453,NA,NA
"444","Green",49830,687469,7181,6403,4932,23.1,6.4,21.2,6.2,13.2,0.47,NA,"2015-09",Sep 2015,1494900,2015-09-28,20624070,"39",348810,"2015",4812283,NA,NA
"445","Green",49429,678711,7215,6404,4911,23.8,6.4,21.8,6.2,12.8,0.46,NA,"2015-08",Aug 2015,1532299,2015-08-28,21040041,"34",346003,"2015",4750977,NA,NA
"446","Green",49730,681299,7321,6473,4981,23.9,6.3,21.7,6.1,13,0.45,NA,"2015-07",Jul 2015,1541630,2015-07-28,21120269,"30",348110,"2015",4769093,NA,NA
"447","Green",54628,801215,7483,6539,5196,23.8,6.5,21.6,6.3,13.3,0.45,NA,"2015-06",Jun 2015,1638840,2015-06-28,24036450,"25",382396,"2015",5608505,NA,NA
"448","Green",57637,862099,7513,6508,5177,24.7,6.8,22.2,6.5,13.6,0.46,NA,"2015-05",May 2015,1786747,2015-05-28,26725069,"21",403459,"2015",6034693,NA,NA
"449","Green",55473,805698,7388,6378,5032,23.7,6.7,21.2,6.4,13,0.46,NA,"2015-04",Apr 2015,1664190,2015-04-28,24170940,"17",388311,"2015",5639886,NA,NA
"450","Green",55567,793672,7254,6221,4835,24.1,6.7,21.5,6.5,13,0.45,NA,"2015-03",Mar 2015,1722577,2015-03-28,24603832,"12",388969,"2015",5555704,NA,NA
"451","Green",56242,798649,6880,5984,4723,22.1,6.9,20,6.6,12.9,0.45,NA,"2015-02",Feb 2015,1574776,2015-02-28,22362172,"08",393694,"2015",5590543,NA,NA
"452","Green",48659,673523,6919,5897,4498,23.6,6.6,21,6.3,12.1,0.45,NA,"2015-01",Jan 2015,1508429,2015-01-28,20879213,"04",340613,"2015",4714661,NA,NA
"453","Green",53078,701885,6933,5812,4651,24.8,6.8,21.7,6.5,12.9,0.44,NA,"2014-12",Dec 2014,1645418,2014-12-28,21758435,"51",371546,"2014",4913195,NA,NA
"454","Green",51600,684927,6622,5558,4499,24.3,6.9,21.3,6.6,13,0.45,NA,"2014-11",Nov 2014,1548000,2014-11-28,20547810,"47",361200,"2014",4794489,NA,NA
"455","Green",48100,649348,6488,5347,4280,24.8,6.8,21.3,6.5,13.1,0.45,NA,"2014-10",Oct 2014,1491100,2014-10-28,20129788,"43",336700,"2014",4545436,NA,NA
"456","Green",45394,623638,6311,5202,4153,23.9,6.7,20.6,6.4,13.2,0.44,NA,"2014-09",Sep 2014,1361820,2014-09-28,18709140,"38",317758,"2014",4365466,NA,NA
"457","Green",43381,595477,6249,5136,3989,24.1,6.7,20.7,6.4,12.8,0.42,NA,"2014-08",Aug 2014,1344811,2014-08-28,18459787,"34",303667,"2014",4168339,NA,NA
"458","Green",41094,560319,6180,5130,3958,23.9,6.4,20.8,6.1,12.7,0.42,NA,"2014-07",Jul 2014,1273914,2014-07-28,17369889,"30",287658,"2014",3922233,NA,NA
"459","Green",44590,616892,6158,5069,4040,23.9,6.7,20.7,6.4,13.2,0.41,NA,"2014-06",Jun 2014,1337700,2014-06-28,18506760,"25",312130,"2014",4318244,NA,NA
"460","Green",45853,636698,6136,4957,3998,25,6.9,21.3,6.5,13.4,0.41,NA,"2014-05",May 2014,1421443,2014-05-28,19737638,"21",320971,"2014",4456886,NA,NA
"461","Green",43625,580228,5894,4811,3799,23.7,6.8,20.4,6.4,12.5,0.39,NA,"2014-04",Apr 2014,1308750,2014-04-28,17406840,"17",305375,"2014",4061596,NA,NA
"462","Green",41718,543542,5620,4566,3547,24.1,6.9,20.7,6.5,12.2,0.37,NA,"2014-03",Mar 2014,1293258,2014-03-28,16849802,"12",292026,"2014",3804794,NA,NA
"463","Green",35895,465192,5085,4207,3065,20.4,6.8,17.8,6.5,12.6,0.35,NA,"2014-02",Feb 2014,1005060,2014-02-28,13025376,"08",251265,"2014",3256344,NA,NA
"464","Green",25923,331334,4564,3818,2409,19.6,6.5,17.2,6.1,11.9,0.35,NA,"2014-01",Jan 2014,803613,2014-01-28,10271354,"04",181461,"2014",2319338,NA,NA
"465","Green",19435,257398,3317,2736,1707,19.3,6.8,16.9,6.4,12.3,0.32,NA,"2013-12",Dec 2013,602485,2013-12-28,7979338,"51",136045,"2013",1801786,NA,NA
"466","Green",12692,168976,2160,1754,1044,17.9,7.1,15.5,6.6,12.3,0.34,NA,"2013-11",Nov 2013,380760,2013-11-28,5069280,"47",88844,"2013",1182832,NA,NA
"467","Green",5477,74128,1261,1128,500,13.7,6.6,12.8,6.3,12.4,0.33,NA,"2013-10",Oct 2013,169787,2013-10-28,2297968,"43",38339,"2013",518896,NA,NA
"468","Green",1632,23087,478,445,159,10.7,6.3,10.2,6.2,12.7,0.34,NA,"2013-09",Sep 2013,48960,2013-09-28,692610,"38",11424,"2013",161609,NA,NA
"469","Green",283,4028,129,114,33,7.3,5.4,6.8,5.1,11.4,0.3,NA,"2013-08",Aug 2013,8773,2013-08-28,124868,"34",1981,"2013",28196,NA,NA
"470","Yellow",102052,1921789,9843,7156,5702,24.7,8.91,20.83,7.68,15.13,0.78,0,"2022-07",Jul 2022,3163612,2022-07-28,59575459,"30",714364,"2022",13452523,102052,0
"471","Yellow",105385,2057705,9980,7226,5490,22.8,9.37,19.51,7.93,16.37,0.79,0,"2022-06",Jun 2022,3161550,2022-06-28,61731150,"26",737695,"2022",14403935,105385,0
"472","Yellow",115449,2234977,9976,7149,5961,25.85,9.32,21.62,7.99,16.37,0.79,0,"2022-05",May 2022,3578919,2022-05-28,69284287,"21",808143,"2022",15644839,115449,0
"473","Yellow",119629,2219127,9560,7053,5975,25.4,9.4,21.9,8,15.4,0.79,0,"2022-04",Apr 2022,3588870,2022-04-28,66573810,"17",837403,"2022",15533889,119629,0
"474","Yellow",116629,2097334,9535,6984,5907,26.2,9.4,22.3,8.1,14.8,0.8,0,"2022-03",Mar 2022,3615499,2022-03-28,65017354,"13",816403,"2022",14681338,116629,0
"475","Yellow",106036,1805865,8989,6734,5591,23.2,9.1,20.1,7.9,14,0.8,0,"2022-02",Feb 2022,2969008,2022-02-28,50564220,"09",742252,"2022",12641055,106036,0
"476","Yellow",79213,1330596,8803,6653,4989,23.3,8.2,20,7.2,12.7,0.79,0,"2022-01",Jan 2022,2455603,2022-01-28,41248476,"04",554491,"2022",9314172,79213,0
"477","Yellow",103585,1903870,9552,6908,5657,25.4,9,21.5,7.7,15.2,0.77,0,"2021-12",Dec 2021,3211135,2021-12-28,59019970,"52",725095,"2021",13327090,103585,0
"478","Yellow",115660,2103014,9516,6810,5763,25.4,9.5,21.3,8.2,15.4,0.79,0,"2021-11",Nov 2021,3469800,2021-11-28,63090420,"47",809620,"2021",14721098,115660,0
"479","Yellow",111638,1993228,9154,6600,5555,26.1,9.5,21.7,8.2,15.1,0.79,NA,"2021-10",Oct 2021,3460778,2021-10-28,61790068,"43",781466,"2021",13952596,NA,NA
"480","Yellow",98724,1826391,8502,6218,5069,24.5,9,19.9,8.1,15.2,0.78,NA,"2021-09",Sep 2021,2961720,2021-09-28,54791730,"39",691068,"2021",12784737,NA,NA
"481","Yellow",89901,1611851,7471,5888,4700,24.7,8.8,21.1,8.2,13.9,0.77,NA,"2021-08",Aug 2021,2786931,2021-08-28,49967381,"34",629307,"2021",11282957,NA,NA
"482","Yellow",91011,1605062,7350,5782,4631,24.8,8.9,21.1,8.3,13.9,0.77,NA,"2021-07",Jul 2021,2821341,2021-07-28,49756922,"30",637077,"2021",11235434,NA,NA
"483","Yellow",94130,1607814,7084,5636,4570,24.3,9.1,20.8,8.4,14.1,0.78,NA,"2021-06",Jun 2021,2823900,2021-06-28,48234420,"26",658910,"2021",11254698,NA,NA
"484","Yellow",80499,1340447,6579,5228,4105,24.3,8.7,20.6,8.2,13.4,0.78,NA,"2021-05",May 2021,2495469,2021-05-28,41553857,"21",563493,"2021",9383129,NA,NA
"485","Yellow",71982,1182789,6103,4924,3889,23.7,8.6,20.2,8.1,13,0.77,NA,"2021-04",Apr 2021,2159460,2021-04-28,35483670,"17",503874,"2021",8279523,NA,NA
"486","Yellow",61643,979149,5764,4718,3652,24,8.3,20.6,7.9,12.3,0.76,NA,"2021-03",Mar 2021,1910933,2021-03-28,30353619,"12",431501,"2021",6854043,NA,NA
"487","Yellow",48499,755115,5277,4496,3182,19.8,7.9,17.6,7.6,12.4,0.76,NA,"2021-02",Feb 2021,1357972,2021-02-28,21143220,"08",339493,"2021",5285805,NA,NA
"488","Yellow",44052,688811,5396,4625,3256,21.8,7.5,19.4,7.3,11.6,0.75,NA,"2021-01",Jan 2021,1365612,2021-01-28,21353141,"04",308364,"2021",4821677,NA,NA
"489","Yellow",47145,744835,6092,5142,3757,22.7,7.4,19.8,7.1,12.4,0.75,NA,"2020-12",Dec 2020,1461495,2020-12-28,23089885,"52",330015,"2020",5213845,NA,NA
"490","Yellow",50285,786213,6314,5208,3868,22.3,7.5,19.2,7.2,12.4,0.76,NA,"2020-11",Nov 2020,1508550,2020-11-28,23586390,"47",351995,"2020",5503491,NA,NA
"491","Yellow",54221,880080,6144,5092,3728,22.7,8,19.7,7.6,12.6,0.76,NA,"2020-10",Oct 2020,1680851,2020-10-28,27282480,"43",379547,"2020",6160560,NA,NA
"492","Yellow",44646,707226,5706,4910,3257,19.9,7.6,17.8,7.3,12.5,0.73,NA,"2020-09",Sep 2020,1339380,2020-09-28,21216780,"39",312522,"2020",4950582,NA,NA
"493","Yellow",32491,548752,5371,4754,2790,18.2,6.9,16.7,6.6,12.6,0.7,NA,"2020-08",Aug 2020,1007221,2020-08-28,17011312,"34",227437,"2020",3841264,NA,NA
"494","Yellow",25816,438974,3988,3803,1952,15.9,7.1,15.7,6.8,12.5,0.69,NA,"2020-07",Jul 2020,800296,2020-07-28,13608194,"30",180712,"2020",3072818,NA,NA
"495","Yellow",18325,314459,2969,2965,1554,15.7,6.7,16.2,6.5,12.4,0.68,NA,"2020-06",Jun 2020,549750,2020-06-28,9433770,"25",128275,"2020",2201213,NA,NA
"496","Yellow",11237,206533,2603,2609,1298,15.4,5.7,15.9,5.6,11.9,0.67,NA,"2020-05",May 2020,348347,2020-05-28,6402523,"21",78659,"2020",1445731,NA,NA
"497","Yellow",7928,119078,2208,2191,982,13.5,5.3,13.8,5.1,9.9,0.63,NA,"2020-04",Apr 2020,237840,2020-04-28,3572340,"17",55496,"2020",833546,NA,NA
"498","Yellow",96993,1620345,19062,11313,6161,16.9,8.8,13.2,6.7,13,0.75,NA,"2020-03",Mar 2020,3006783,2020-03-28,50230695,"12",678951,"2020",11342415,NA,NA
"499","Yellow",217216,3556087,20123,11418,10349,26.3,10.8,20.9,7.7,13.5,0.75,NA,"2020-02",Feb 2020,6299264,2020-02-28,103126523,"08",1520512,"2020",24892609,NA,NA
"500","Yellow",206604,3403736,20131,11435,10080,27.3,10.5,21.7,7.5,13.1,0.73,NA,"2020-01",Jan 2020,6404724,2020-01-28,105515816,"04",1446228,"2020",23826152,NA,NA
"501","Yellow",220786,3806944,20829,11478,10260,27.7,10.7,21.7,7.5,15,0.71,NA,"2019-12",Dec 2019,6844366,2019-12-28,118015264,"51",1545502,"2019",26648608,NA,NA
"502","Yellow",227654,3872769,20934,11431,10441,27.4,11,21.7,7.6,14.8,0.73,NA,"2019-11",Nov 2019,6829620,2019-11-28,116183070,"47",1593578,"2019",27109383,NA,NA
"503","Yellow",231171,4006128,20880,11380,10476,28.5,11.2,22.5,7.7,15.1,0.73,NA,"2019-10",Oct 2019,7166301,2019-10-28,124189968,"43",1618197,"2019",28042896,NA,NA
"504","Yellow",217747,3814692,20369,11302,10066,26.7,10.9,21,7.7,16,0.72,NA,"2019-09",Sep 2019,6532410,2019-09-28,114440760,"38",1524229,"2019",26702844,NA,NA
"505","Yellow",194798,3385162,19583,11237,9741,26.9,10.4,21.4,7.5,14.3,0.7,NA,"2019-08",Aug 2019,6038738,2019-08-28,104940022,"34",1363586,"2019",23696134,NA,NA
"506","Yellow",202443,3501565,20206,11366,9894,27,10.5,21.4,7.5,14.5,0.7,NA,"2019-07",Jul 2019,6275733,2019-07-28,108548515,"29",1417101,"2019",24510955,NA,NA
"507","Yellow",231335,4042788,20728,11533,10274,26.7,11,21.3,7.7,15.1,0.72,NA,"2019-06",Jun 2019,6940050,2019-06-28,121283640,"25",1619345,"2019",28299516,NA,NA
"508","Yellow",244017,4214808,21042,11689,10494,27.8,11.2,22.3,7.7,14.9,0.72,NA,"2019-05",May 2019,7564527,2019-05-28,130659048,"21",1708119,"2019",29503656,NA,NA
"509","Yellow",247742,4215927,21595,11786,10674,27.2,11.3,21.4,7.8,14.3,0.72,NA,"2019-04",Apr 2019,7432260,2019-04-28,126477810,"16",1734194,"2019",29511489,NA,NA
"510","Yellow",252634,4289036,21956,11912,10814,28.1,11.4,22.3,7.9,14.1,0.73,NA,"2019-03",Mar 2019,7831654,2019-03-28,132960116,"12",1768438,"2019",30023252,NA,NA
"511","Yellow",250654,4105322,21733,11895,10770,25.4,11.3,20.1,7.8,13.6,0.74,NA,"2019-02",Feb 2019,7018312,2019-02-28,114949016,"08",1754578,"2019",28737254,NA,NA
"512","Yellow",247315,3413625,22085,11867,10582,27.6,11.1,21.5,7.7,12.8,0.72,NA,"2019-01",Jan 2019,7666765,2019-01-28,105822375,"04",1731205,"2019",23895375,NA,NA
"513","Yellow",263609,3852809,23042,11938,10803,28.1,11.5,21.7,7.7,14.7,0.68,NA,"2018-12",Dec 2018,8171879,2018-12-28,119437079,"52",1845263,"2018",26969663,NA,NA
"514","Yellow",271501,4035397,23459,11948,11040,27.7,11.8,21.4,7.8,15.2,0.7,NA,"2018-11",Nov 2018,8145030,2018-11-28,121061910,"48",1900507,"2018",28247779,NA,NA
"515","Yellow",284121,4267309,23600,12009,11151,28.8,12,22.2,7.9,15.2,0.71,NA,"2018-10",Oct 2018,8807751,2018-10-28,132286579,"43",1988847,"2018",29871163,NA,NA
"516","Yellow",267983,3995849,23055,12007,10741,26.8,11.7,20.6,7.9,15,0.7,NA,"2018-09",Sep 2018,8039490,2018-09-28,119875470,"39",1875881,"2018",27970943,NA,NA
"517","Yellow",253182,3742832,22319,11961,10655,27.6,11.3,21.4,7.8,14.1,0.7,NA,"2018-08",Aug 2018,7848642,2018-08-28,116027792,"35",1772274,"2018",26199824,NA,NA
"518","Yellow",253186,3735128,23142,12092,10788,27.7,11.3,21.3,7.7,14.1,0.68,NA,"2018-07",Jul 2018,7848766,2018-07-28,115788968,"30",1772302,"2018",26145896,NA,NA
"519","Yellow",290362,4283693,23737,12222,11223,27.5,11.9,21.4,7.9,14.7,0.7,NA,"2018-06",Jun 2018,8710860,2018-06-28,128510790,"26",2032534,"2018",29985851,NA,NA
"520","Yellow",297508,4431220,24330,12317,11396,28.7,12.1,22.3,7.9,14.9,0.69,NA,"2018-05",May 2018,9222748,2018-05-28,137367820,"22",2082556,"2018",31018540,NA,NA
"521","Yellow",310169,4486177,24807,12372,11534,28,12.4,21.5,8.1,14.2,0.7,NA,"2018-04",Apr 2018,9305070,2018-04-28,134585310,"17",2171183,"2018",31403239,NA,NA
"522","Yellow",304169,4293867,24991,12389,11480,28.7,12.2,21.9,7.9,13.7,0.7,NA,"2018-03",Mar 2018,9429239,2018-03-28,133109877,"13",2129183,"2018",30057069,NA,NA
"523","Yellow",303280,4138935,24641,12490,11535,25.9,12.1,19.9,8,13.1,0.71,NA,"2018-02",Feb 2018,8491840,2018-02-28,115890180,"09",2122960,"2018",28972545,NA,NA
"524","Yellow",282565,3863024,24923,12599,11304,27.8,11.6,21.1,7.7,13.1,0.7,NA,"2018-01",Jan 2018,8759515,2018-01-28,119753744,"04",1977955,"2018",27041168,NA,NA
"525","Yellow",306706,4407843,26038,12685,11743,28.7,12.2,21.8,7.8,14.5,0.66,NA,"2017-12",Dec 2017,9507886,2017-12-28,136643133,"52",2146942,"2017",30854901,NA,NA
"526","Yellow",309471,4517934,26347,12692,11921,28.2,12.4,21.5,7.8,14.8,0.68,NA,"2017-11",Nov 2017,9284130,2017-11-28,135538020,"48",2166297,"2017",31625538,NA,NA
"527","Yellow",315084,4681421,26536,12703,11931,29.1,12.5,22.1,7.9,14.8,0.68,NA,"2017-10",Oct 2017,9767604,2017-10-28,145124051,"43",2205588,"2017",32769947,NA,NA
"528","Yellow",298163,4422289,25604,12656,11499,27.3,12.1,20.6,7.9,14.8,0.67,NA,"2017-09",Sep 2017,8944890,2017-09-28,132668670,"39",2087141,"2017",30956023,NA,NA
"529","Yellow",271676,3985437,25164,12690,11550,28.2,11.7,21.6,7.7,14,0.66,NA,"2017-08",Aug 2017,8421956,2017-08-28,123548547,"35",1901732,"2017",27898059,NA,NA
"530","Yellow",277042,4037177,26108,12792,11583,28.1,11.8,21.1,7.7,14.1,0.66,NA,"2017-07",Jul 2017,8588302,2017-07-28,125152487,"30",1939294,"2017",28260239,NA,NA
"531","Yellow",321877,4751867,26664,12894,12038,28,12.4,21.5,7.8,14.8,0.67,NA,"2017-06",Jun 2017,9656310,2017-06-28,142556010,"26",2253139,"2017",33263069,NA,NA
"532","Yellow",325857,4848494,27655,12977,12159,29,12.6,21.9,7.8,15,0.67,NA,"2017-05",May 2017,10101567,2017-05-28,150303314,"21",2280999,"2017",33939458,NA,NA
"533","Yellow",334865,4865420,27802,12981,12229,28.3,12.8,21.4,7.9,14.3,0.67,NA,"2017-04",Apr 2017,10045950,2017-04-28,145962600,"17",2344055,"2017",34057940,NA,NA
"534","Yellow",332075,4770322,27900,12990,12146,29,12.8,21.8,7.9,14,0.68,NA,"2017-03",Mar 2017,10294325,2017-03-28,147879982,"13",2324525,"2017",33392254,NA,NA
"535","Yellow",327451,4531822,27523,12967,12112,26.2,12.6,19.6,7.9,13.3,0.68,NA,"2017-02",Feb 2017,9168628,2017-02-28,126891016,"09",2292157,"2017",31722754,NA,NA
"536","Yellow",313229,4314880,27782,13058,11990,28.5,12.2,21,7.8,13,0.67,NA,"2017-01",Jan 2017,9710099,2017-01-28,133761280,"04",2192603,"2017",30204160,NA,NA
"537","Yellow",337071,4869413,28743,13197,12329,29,12.8,21.7,7.8,14.6,0.64,NA,"2016-12",Dec 2016,10449201,2016-12-28,150951803,"52",2359497,"2016",34085891,NA,NA
"538","Yellow",336737,4980423,29080,13159,12437,28.4,12.9,21.3,7.8,15.9,0.66,NA,"2016-11",Nov 2016,10102110,2016-11-28,149412690,"48",2357159,"2016",34862961,NA,NA
"539","Yellow",350380,5196275,29383,13198,12433,29.2,13.1,21.8,7.9,16,0.66,NA,"2016-10",Oct 2016,10861780,2016-10-28,161084525,"43",2452660,"2016",36373925,NA,NA
"540","Yellow",337321,5167170,28526,13166,12137,27.7,12.8,20.6,7.9,16,0.66,NA,"2016-09",Sep 2016,10119630,2016-09-28,155015100,"39",2361247,"2016",36170190,NA,NA
"541","Yellow",320718,4722586,28340,13203,12266,28.8,12.5,21.7,7.8,15.5,0.64,NA,"2016-08",Aug 2016,9942258,2016-08-28,146400166,"34",2245026,"2016",33058102,NA,NA
"542","Yellow",332231,4924633,29062,13293,12266,28.6,12.6,21.3,7.8,15.7,0.64,NA,"2016-07",Jul 2016,10299161,2016-07-28,152663623,"30",2325617,"2016",34472431,NA,NA
"543","Yellow",371257,5564246,29899,13354,12781,28.7,13.3,21.8,7.8,16.7,0.66,NA,"2016-06",Jun 2016,11137710,2016-06-28,166927380,"26",2598799,"2016",38949722,NA,NA
"544","Yellow",381878,5654653,30509,13381,12777,29.6,13.5,22.1,8,15.8,0.66,NA,"2016-05",May 2016,11838218,2016-05-28,175294243,"21",2673146,"2016",39582571,NA,NA
"545","Yellow",397780,5721501,30488,13370,12875,28.9,13.8,21.7,8.1,17.4,0.67,NA,"2016-04",Apr 2016,11933400,2016-04-28,171645030,"17",2784460,"2016",40050507,NA,NA
"546","Yellow",393886,5614089,30327,13379,12828,29.7,13.6,22.2,8,15,0.67,NA,"2016-03",Mar 2016,12210466,2016-03-28,174036759,"13",2757202,"2016",39298623,NA,NA
"547","Yellow",392470,5427875,29564,13339,12718,27.7,13.4,20.8,8,14.6,0.67,NA,"2016-02",Feb 2016,11381630,2016-02-28,157408375,"08",2747290,"2016",37995125,NA,NA
"548","Yellow",351816,4886897,29276,13347,12244,28.4,12.7,21,7.9,15.4,0.66,NA,"2016-01",Jan 2016,10906296,2016-01-28,151493807,"04",2462712,"2016",34208279,NA,NA
"549","Yellow",369686,5425880,29917,13429,12641,29.2,13.2,22,7.9,18.4,0.63,NA,"2015-12",Dec 2015,11460266,2015-12-28,168202280,"52",2587802,"2015",37981160,NA,NA
"550","Yellow",377076,5502861,30270,13428,12732,28.4,13.3,21.3,7.9,20.4,0.64,NA,"2015-11",Nov 2015,11312280,2015-11-28,165085830,"47",2639532,"2015",38520027,NA,NA
"551","Yellow",397244,5856687,30104,13436,12787,29.5,13.7,22.4,8.1,17.3,0.64,NA,"2015-10",Oct 2015,12314564,2015-10-28,181557297,"43",2780708,"2015",40996809,NA,NA
"552","Yellow",374156,5520038,29912,13423,12523,28,13.2,20.8,8,16.5,0.62,NA,"2015-09",Sep 2015,11224680,2015-09-28,165601140,"39",2619092,"2015",38640266,NA,NA
"553","Yellow",359029,5200177,29688,13442,12579,29,13.1,21.7,7.9,16.1,0.61,NA,"2015-08",Aug 2015,11129899,2015-08-28,161205487,"34",2513203,"2015",36401239,NA,NA
"554","Yellow",372979,5392570,29999,13490,12599,29,13.1,21.8,7.9,15.7,0.62,NA,"2015-07",Jul 2015,11562349,2015-07-28,167169670,"30",2610853,"2015",37747990,NA,NA
"555","Yellow",410831,6014938,30829,13549,12990,28.8,13.8,21.9,8,16.9,0.63,NA,"2015-06",Jun 2015,12324930,2015-06-28,180448140,"25",2875817,"2015",42104566,NA,NA
"556","Yellow",424459,6239552,31442,13580,13006,29.7,14.1,22.4,8.1,16.4,0.62,NA,"2015-05",May 2015,13158229,2015-05-28,193426112,"21",2971213,"2015",43676864,NA,NA
"557","Yellow",435701,6226205,31574,13577,13098,28.9,14.2,21.9,8.1,16.9,0.63,NA,"2015-04",Apr 2015,13071030,2015-04-28,186786150,"17",3049907,"2015",43583435,NA,NA
"558","Yellow",430669,6076181,31610,13584,13030,29.7,14,22.3,8,16.8,0.63,NA,"2015-03",Mar 2015,13350739,2015-03-28,188361611,"12",3014683,"2015",42533267,NA,NA
"559","Yellow",444633,6097785,30969,13617,12979,26.7,14.1,20.3,8.1,15.8,0.64,NA,"2015-02",Feb 2015,12449724,2015-02-28,170737980,"08",3112431,"2015",42684495,NA,NA
"560","Yellow",411238,5442278,31236,13633,12721,28.9,13.4,21.5,7.9,15,0.62,NA,"2015-01",Jan 2015,12748378,2015-01-28,168710618,"04",2878666,"2015",38095946,NA,NA
"561","Yellow",419776,5868025,32048,13642,13041,29.6,13.9,22.3,7.9,14,0.58,NA,"2014-12",Dec 2014,13013056,2014-12-28,181908775,"51",2938432,"2014",41076175,NA,NA
"562","Yellow",440576,6113253,32260,13642,13095,28.8,14.3,21.8,8,13.8,0.59,NA,"2014-11",Nov 2014,13217280,2014-11-28,183397590,"47",3084032,"2014",42792771,NA,NA
"563","Yellow",459087,6432093,32091,13665,13162,29.9,14.5,22.7,8.1,13.8,0.59,NA,"2014-10",Oct 2014,14231697,2014-10-28,199394883,"43",3213609,"2014",45024651,NA,NA
"564","Yellow",445782,6284615,32191,13647,13087,28.8,14.3,21.7,8.1,13.9,0.59,NA,"2014-09",Sep 2014,13373460,2014-09-28,188538450,"38",3120474,"2014",43992305,NA,NA
"565","Yellow",409305,5709153,31429,13622,12919,29.4,13.8,22.2,7.9,13.1,0.57,NA,"2014-08",Aug 2014,12688455,2014-08-28,176983743,"34",2865135,"2014",39964071,NA,NA
"566","Yellow",422771,5832040,31515,13633,12943,29.4,13.8,22.5,7.8,13,0.57,NA,"2014-07",Jul 2014,13105901,2014-07-28,180793240,"30",2959397,"2014",40824280,NA,NA
"567","Yellow",460393,6490355,32747,13651,13154,28.9,14.6,22,8,13.6,0.58,NA,"2014-06",Jun 2014,13811790,2014-06-28,194710650,"25",3222751,"2014",45432485,NA,NA
"568","Yellow",476569,6718530,33060,13581,13098,29.9,14.9,22.7,8.1,13.6,0.57,NA,"2014-05",May 2014,14773639,2014-05-28,208274430,"21",3335983,"2014",47029710,NA,NA
"569","Yellow",487275,6613192,33086,13524,13074,29,15,22,8.1,12.9,0.57,NA,"2014-04",Apr 2014,14618250,2014-04-28,198395760,"17",3410925,"2014",46292344,NA,NA
"570","Yellow",497661,6612023,33229,13442,13020,30,15.1,22.6,8.1,12.4,0.58,NA,"2014-03",Mar 2014,15427491,2014-03-28,204972713,"12",3483627,"2014",46284161,NA,NA
"571","Yellow",466522,6122310,32634,13376,12852,26.9,14.6,20.2,8,12.6,0.59,NA,"2014-02",Feb 2014,13062616,2014-02-28,171424680,"08",3265654,"2014",42856170,NA,NA
"572","Yellow",444537,5790713,32775,13366,12778,29.6,14.1,21.9,7.8,12.2,0.57,NA,"2014-01",Jan 2014,13780647,2014-01-28,179512103,"04",3111759,"2014",40534991,NA,NA
"573","Yellow",450634,6176199,33335,13356,12858,29.8,14.5,22.2,7.8,13.1,0.53,NA,"2013-12",Dec 2013,13969654,2013-12-28,191462169,"51",3154438,"2013",43233393,NA,NA
"574","Yellow",479527,6470910,33191,13336,12926,29.1,15,21.9,8,12.9,0.55,NA,"2013-11",Nov 2013,14385810,2013-11-28,194127300,"47",3356689,"2013",45296370,NA,NA
"575","Yellow",483921,6648711,33417,13334,12962,30.1,15,22.5,8.1,13.1,0.56,NA,"2013-10",Oct 2013,15001551,2013-10-28,206110041,"43",3387447,"2013",46540977,NA,NA
"576","Yellow",470147,6493533,33292,13340,12881,29,14.9,21.5,8,13.1,0.55,NA,"2013-09",Sep 2013,14104410,2013-09-28,194805990,"38",3291029,"2013",45454731,NA,NA
"577","Yellow",406246,5553989,32388,13318,11959,27.8,14.2,20.7,7.9,NA,0.54,NA,"2013-08",Aug 2013,12593626,2013-08-28,172173659,"34",2843722,"2013",38877923,NA,NA
"578","Yellow",445861,5983709,32748,13327,12830,29.8,14.3,22.2,7.8,12.5,0.53,NA,"2013-07",Jul 2013,13821691,2013-07-28,185494979,"29",3121027,"2013",41885963,NA,NA
"579","Yellow",479148,6555608,33452,13341,12922,29.1,15,21.7,8,13,0.54,NA,"2013-06",Jun 2013,14374440,2013-06-28,196668240,"25",3354036,"2013",45889256,NA,NA
"580","Yellow",492962,6744373,33267,13334,12929,30.1,15.1,22.5,8.1,13,0.53,NA,"2013-05",May 2013,15281822,2013-05-28,209075563,"21",3450734,"2013",47210611,NA,NA
"581","Yellow",503249,6714891,33084,13343,12949,29.1,15.1,21.9,8.1,12.4,0.54,NA,"2013-04",Apr 2013,15097470,2013-04-28,201446730,"16",3522743,"2013",47004237,NA,NA
